Doc_ID,Sentence_ID,sentence,sentence_BW,Word_ID,word_position_in_sentence,Word_Ar,word_Bw,CODA_Surface,Lemma,Lemma_MSA,CODA_Surface_ar,Lemma_ar,Lemma_MSA_ar,Gloss,Prefix,stem,Suffix,POS,Person,Aspect,Gender,Number,Base,Source_mode,Source_Search,,
1,1,صفحة يما بديش أتجوز,SfHp ymA bdy$ >tjwz,1,1,صفحة,SfHp,SfHp,SafoHap_1,SafoHap_1,صفحة,صَفْحَةـ1,صَفْحَةـ1,page;pages;_[CALIMA],,SfH/NOUN,p/NSUFF_FEM_SG,noun,na,na,f,s,MADAMIRA,Yes,SfHp,,
1,1,صفحة يما بديش أتجوز,SfHp ymA bdy$ >tjwz,2,2,يما,ymA,ymA,ymA_1,>um~y_1,يما,يماـ1,أُمّيـ1,my_mother,,ymA/NOUN,,noun,na,na,na,na,MSA(SAMA),Yes,>my,,
1,1,صفحة يما بديش أتجوز,SfHp ymA bdy$ >tjwz,3,3,بديش,bdy$,bdy$,bd,>rAd,بديش,بد,أراد,want;desire;intend,,bd/IV,y/IVSUFF_SUBJ:1S+$/NEG_PART,verb,1,i,m,s,Egy(CALIMA),Yes,bdy$,,
1,1,صفحة يما بديش أتجوز,SfHp ymA bdy$ >tjwz,4,4,أتجوز,>tjwz,Atjwz,Aitojaw~iz_1,Aitozwj_1,اتجوز,اِتْجَوِّزـ1,اِتْزوجـ1,marry;get_married_[CALIMA],A/IV1S,tjwz/IV,,verb,1,i,m,s,MADAMIRA,No,>tjwz,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,5,1,ما,mA,mA,mA_1,mA_1,ما,ماـ1,ماـ1,what,,mA/INTERROG_PRON,,pron_interrog,na,na,m,s,MADAMIRA,Yes,mA,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,6,2,هو,hw,hw,huwa_1,huwa_1,هو,هُوَـ1,هُوَـ1,it/he_[SAMA],,hw/PRON_3MS,,pron,3,na,m,s,MADAMIRA,No,hw,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,7,3,حال,HAl,HAl,HAl_1,HAl_1,حال,حالـ1,حالـ1,situation;condition;case;situations;conditions;cases_[CALIMA],,HAl/NOUN,,noun,na,na,m,s,MADAMIRA,No,HAl,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,8,4,النت,Alnt,Alnt,nit_1,nit_1,النت,نِتـ1,نِتـ1,net_[CALIMA],Al/DET,nt/NOUN_PROP,,noun_prop,na,na,m,s,Egy(CALIMA),No,Alnt,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,9,5,عندكن,Endkn,Endkn,Einod_1,Einod_1,عندكن,عِنْدـ1,عِنْدـ1,with/at_[SAMA],,End/NOUN,kn/POSS_PRON_2P,noun,na,na,m,p,Egy(CALIMA),Yes,Endkn,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,10,6,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,11,7,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,12,8,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,2,ما هو حال النت عندكن ? ? ? ?,mA hw HAl Alnt Endkn ? ? ? ?,13,9,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,14,1,للازكياء,llAzkyA',ll>*kyA',*ky,*ky,للأذكياء,ذكي,ذكي,"smart,clever,",l/PREP+Al/DET,>*kyA'/NOUN,,noun,na,na,m,p,Egy(CALIMA),Yes,llAzkyA',,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,15,2,فقط,fqT,fqT,fqT,faqaT,فقط,فقط,فَقَط,only;just,,fqT/ADV,,adv,na,na,na,na,MSA(SAMA),Yes,fqT,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,16,3,ما,mA,mA,mA_1,mA_1,ما,ماـ1,ماـ1,what,,mA/INTERROG_PRON,,pron_interrog,na,na,m,s,MADAMIRA,Yes,mA,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,17,4,هو,hw,hw,huwa_1,huwa_1,هو,هُوَـ1,هُوَـ1,it/he_[SAMA],,hw/PRON_3MS,,pron,3,na,m,s,MADAMIRA,No,hw,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,18,5,الجواب,AljwAb,AljwAb,jwAb,jwAb,الجواب,جواب,جواب,answer;answers;letter;letters,Al/DET,jwAb/NOUN,,noun,na,na,m,s,,Yes,AljwAb,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,19,6,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,20,7,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,21,8,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,3,للازكياء فقط ما هو الجواب ? ? ? ?,llAzkyA' fqT mA hw AljwAb ? ? ? ?,22,9,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,23,1,اي,Ay,>y,>ay~_1,>ay~_1,أي,أَيّـ1,أَيّـ1,which_[CALIMA],,>y/INTERROG_PRON,,pron_interrog,na,na,m,s,Egy(CALIMA),Yes,Ay,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,24,2,اكتر,Aktr,>kvr,>akovr_1,>akovr_1,أكثر,أَكْثرـ1,أَكْثرـ1,more;most;majority_[CALIMA],,>kvr/ADJ_COMP,,adj_comp,na,na,na,na,MADAMIRA,Yes,Aktr,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,25,3,شي,$y,$y,$iy,$ayo',شي,شِي,شَيْء,something;thing,,$y/NOUN,,noun,na,na,m,s,Egy(CALIMA),Yes,$y,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,26,4,بتستخدموا,btstxdmwA,btstxdmwA,<stxdm,AstEml,بتستخدموا,إستخدم,استعمل,employ;utilize;use_[CALIMA],b/PROG_PART+t/IV2P,<stxdm/IV,wA/IVSUFF_SUBJ:P,verb,2,i,m,s,Egy(CALIMA),Yes,btstxdmwA,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,27,5,لتروحوا,ltrwHwA,ltrwHwA,rAH,*hb,لتروحوا,راح,ذهب,go,l/PART+t/IV2P,rwH/IV,wA/IVSUFF_SUBJ:P,verb,2,i,m,p,,Yes,ltrwHwA,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,28,6,على,ElY,ElY,ElY,ElY,على,على,على,on;above;to;at,,ElY/PREP,,prep,na,na,na,na,MADAMIRA,Yes,ElY,,
1,4,اي اكتر شي بتستخدموا لتروحوا على المدرسة,Ay Aktr $y btstxdmwA ltrwHwA ElY Almdrsp,29,7,المدرسة,Almdrsp,Almdrsp,madorasap_1,madorasap_1,المدرسة,مَدْرَسَةـ1,مَدْرَسَةـ1,school;schools_[CALIMA],Al/DET,mdrs/NOUN,p/NSUFF_FEM_SG,noun,na,na,f,s,MADAMIRA,No,Almdrsp,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,30,1,او,Aw,>w,>w,>w,أو,أو,أو,or,,>w/CONJ,,conj,na,na,na,na,,Yes,Aw,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,31,2,الجامعة,AljAmEp,AljAmEp,jAmoEap_1,jAmoEap_1,الجامعة,جامْعَةـ1,جامْعَةـ1,universities;university_[CALIMA],Al/DET,jAmE/NOUN,p/NSUFF_FEM_SG,noun,na,na,f,s,MADAMIRA,No,AljAmEp,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,32,3,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,33,4,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,34,5,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,35,6,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,5,او الجامعة ? ? ? ? ?,Aw AljAmEp ? ? ? ? ?,36,7,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,37,1,شو,$w,$w,$uw_1,mA*A_1,شو,شُوـ1,ماذاـ1,what;which,,$w/INTERROG_PRON,,part_voc,na,na,m,s,Egy(CALIMA),Yes,$w,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,38,2,اسم,Asm,Asm,Aisom_1,Aisom_1,اسم,اِسْمـ1,اِسْمـ1,name_[CALIMA],,Asm/NOUN,,noun,na,na,m,s,MADAMIRA,Yes,Asm,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,39,3,هاد,hAd,hA*A,hA*A_1,h`*A_1,هاذا,هاذاـ1,ه?ذاـ1,this_[masc.sg.],,h*A/DEM_PRON_MS,,pron_dem,na,na,m,s,MSA(SAMA),Yes,h*A,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,40,4,السلاح,AlslAH,AlslAH,silAH_1,silAH_1,السلاح,سِلاحـ1,سِلاحـ1,weapon;weapons;(military)_service_branch_[CALIMA],Al/DET,slAH/NOUN,,noun,na,na,m,s,MADAMIRA,No,AlslAH,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,41,5,عندكن,Endkn,Endkn,Einod_1,Einod_1,عندكن,عِنْدـ1,عِنْدـ1,with/at_[SAMA],,End/NOUN,kn/POSS_PRON_2P,noun,na,na,m,p,Egy(CALIMA),Yes,Endkn,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,42,6,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,43,7,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,44,8,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,45,9,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,46,10,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,6,شو اسم هاد السلاح عندكن ? ? ? ? ? ?,$w Asm hAd AlslAH Endkn ? ? ? ? ? ?,47,11,?,?,?,?_0,?_0,?,?ـ0,?ـ0,?,,?/PUNC,,punc,na,na,na,na,MADAMIRA,No,?,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,48,1,في,fy,fy,fiy_1,fiy_1,في,فِيـ1,فِيـ1,in_[CALIMA],,fy/PREP,,prep,na,na,na,na,MADAMIRA,Yes,fy,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,49,2,اربع,ArbE,ArbE,ArobaE_1,ArobaE_1,اربع,ارْبَعـ1,ارْبَعـ1,four,,ArbE/NOUN_NUM,,noun_num,na,na,m,s,Egy(CALIMA),Yes,ArbE,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,50,3,رجال,rjAl,rjAl,rjl,rjl,رجال,رجل,رجل,men;,,rjAl/NOUN,,noun,na,na,m,p,Levant(DIWAN),Yes,rjAl,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,51,4,فتحوا,ftHwA,ftHwA,fataH_1,fataH_1,فتحوا,فَتَحـ1,فَتَحـ1,open;conquer;be_opened;be_conquered_[CALIMA],,ftH/PV,wA/PVSUFF_SUBJ:3P,verb,3,p,m,p,Egy(CALIMA),Yes,ftHwA,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,52,5,سوبر,swbr,swbr,suwbar_2,kbyr,سوبر,سُوبَرـ2,كبير,Super_[SAMA],,swbr/FOREIGN,,adj,na,na,na,na,Egy(CALIMA),Yes,swbr,,
1,7,في اربع رجال فتحوا سوبر ماركت وحطوا كل دور فيه كاشير دخل زبون بدو جاج رد عليه الرجل قال : حي ولا ميت قال الزبون ميت فقله الرجل روح الدور الثاني راح الدور التاني قال : بدي دجاج ميت فقال الرجل مبرد ولا مثلج رد الزبون مبرد فقال الرجل له روح الدور الثالث فراح الدور الثالث قال بدي دجاج ميت و مبرد فقال الرجل بكياس ولا بدون كياس قال : لزبون بكيا قلوا روح الدور الرابع راح على الدور الرابع وقال : بدي جاج ميت مبرد بكياس فقاله الرجل اصلا ما عندنا دجاج قلوا بس شلون النظام,fy ArbE rjAl ftHwA swbr mArkt wHTwA kl dwr fyh kA$yr dxl zbwn bdw jAj rd Elyh Alrjl qAl : Hy wlA myt qAl Alzbwn myt fqlh Alrjl rwH Aldwr AlvAny rAH Aldwr AltAny qAl : bdy djAj myt fqAl Alrjl mbrd wlA mvlj rd Alzbwn mbrd fqAl Alrjl lh rwH Aldwr AlvAlv frAH Aldwr AlvAlv qAl bdy djAj myt w mbrd fqAl Alrjl bkyAs wlA bdwn kyAs qAl : lzbwn bkyA qlwA rwH Aldwr AlrAbE rAH ElY Aldwr AlrAbE wqAl : bdy jAj myt mbrd bkyAs fqAlh Alrjl ASlA mA EndnA djAj qlwA bs $lwn AlnZAm,53,6,ماركت,mArkt,mArkt,mArkt,swq,ماركت,ماركت,سوق,market,,mArkt/FOREIGN,,noun,na,na,m,s,Egy(CALIMA),Yes,mArkt,,
